"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 09 15:29:33 GMT 2024","Tue Apr 09 15:29:47 GMT 2024","14444","","","","ProjectTest","SuccessfulAddProjectTest","SuccessfulAddProjectTest",""
"passed","Tue Apr 09 15:29:34 GMT 2024","Tue Apr 09 15:29:34 GMT 2024","305","","","","ProjectFakerTest","DeleteProjectTest","DeleteProjectTest",""
"passed","Tue Apr 09 15:29:33 GMT 2024","Tue Apr 09 15:29:34 GMT 2024","573","","","","ProjectFakerTest","AddProjectTest","AddProjectTest",""
"passed","Tue Apr 09 15:29:33 GMT 2024","Tue Apr 09 15:29:36 GMT 2024","3384","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Tue Apr 09 15:29:33 GMT 2024","Tue Apr 09 15:29:34 GMT 2024","579","","","","ProjectTest","AddProjectTest","AddProjectTest",""
