"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 09 16:05:54 GMT 2024","Tue Apr 09 16:05:55 GMT 2024","608","","","","ProjectTest","AddProjectTest","AddProjectTest",""
"passed","Tue Apr 09 16:05:54 GMT 2024","Tue Apr 09 16:05:55 GMT 2024","628","","","","ProjectFakerTest","AddProjectTest","AddProjectTest",""
"passed","Tue Apr 09 16:05:54 GMT 2024","Tue Apr 09 16:06:05 GMT 2024","10738","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
